SurveilancePlace,Department,MonitorDate,Rate_Wave
Downtown,Big,20130304,1.68
Downtown,Big,20130305,1.63
Downtown,Big,20130306,1.68
Downtown,Big,20130307,1.74
Downtown,Big,20130308,1.75
Downtown,Big,20130309,1.9
Downtown,Big,20130310,1.56
Downtown,Big,20130311,1.71
Downtown,Big,20130312,1.5
Downtown,Big,20130313,1.73
Downtown,Big,20130314,1.65
Downtown,Big,20130315,1.68
Downtown,Big,20130316,1.61
Downtown,Big,20130317,1.7
Downtown,Big,20130318,1.63
Downtown,Big,20130319,1.52
Downtown,Big,20130320,1.7
Downtown,Big,20130321,1.59
Downtown,Big,20130322,1.68
Downtown,Big,20130323,1.65
Downtown,Big,20130324,1.7
Downtown,Big,20130325,1.46
Downtown,Big,20130326,1.79
Downtown,Big,20130327,1.37
Downtown,Big,20130328,1.53
Downtown,Big,20130329,1.55
Downtown,Big,20130330,1.51
Downtown,Big,20130331,1.58
Downtown,Big,20121001,13.73
Downtown,Big,20121002,18.85
Downtown,Big,20121003,17.3
Downtown,Big,20121004,12.81
Downtown,Big,20121005,23.88
Downtown,Big,20121006,18.92
